route_id,primary_topology,secondary_phase,tertiary_phase,primary_product,secondary_product,tertiary_product,failure_label,framework_density,largest_free_sphere,accessible_volume_izc,largest_included_sphere,framework_descriptor_json
21,,,,,,,failed_amorphous,,,,,
22,SOS,,,SU-16,,,success,17.0,3.50896,9.36,4.08376,"{""volume"": 1396.249726708032, ""ring_size_0"": 12.0, ""ring_size_1"": 8.0, ""ring_size_2"": 6.0, ""ring_size_3"": 4.0, ""ring_size_4"": 3.0, ""framework_density"": 17.0, ""largest_free_sphere"": 3.50896, ""accessible_volume_izc"": 9.36, ""largest_free_sphere_a"": 2.14398, ""largest_free_sphere_b"": 3.50896, ""largest_free_sphere_c"": 2.14405, ""largest_free_sphere_izc"": 4.27, ""largest_included_sphere"": 4.08376, ""largest_free_sphere_a_izc"": 2.92, ""largest_free_sphere_b_izc"": 4.27, ""largest_free_sphere_c_izc"": 2.92, ""largest_included_sphere_a"": 4.07995, ""largest_included_sphere_b"": 3.97536, ""largest_included_sphere_c"": 3.307, ""largest_included_sphere_fsp"": 3.97536, ""largest_included_sphere_izc"": 4.82, ""chan_num_channels"": 1.0, ""density"": 1.71497, ""sa_num_channels"": 1.0, ""avol_num_channels"": 1.0}"
23,,,,amorphous,,,failed_amorphous,,,,,
24,,,,amorphous,,,failed_amorphous,,,,,
25,,,,amorphous,,,failed_amorphous,,,,,
26,,,,amorphous,,,failed_amorphous,,,,,
27,,,,,,,failed_amorphous,,,,,
28,*BEA,,,zeolite beta,PolB,,mixed_phase,,,,,
29,,,,amorphous,,,failed_amorphous,,,,,
30,,,,amorphous,,,failed_amorphous,,,,,
31,*BEA,,,zeolite beta,PolB,,mixed_phase,,,,,
32,,,,amorphous,,,failed_amorphous,,,,,
33,,,,amorphous,,,failed_amorphous,,,,,
34,*BEA,,,zeolite beta,PolB,,mixed_phase,,,,,
35,,,,amorphous,,,failed_amorphous,,,,,
36,,,,amorphous,,,failed_amorphous,,,,,
37,,,,amorphous,,,failed_amorphous,,,,,
38,,,,amorphous,,,failed_amorphous,,,,,
39,,,,amorphous,,,failed_amorphous,,,,,
40,*BEA,,,zeolite beta,PolB,,mixed_phase,,,,,
41,*BEA,,,zeolite beta,PolB,,mixed_phase,,,,,
42,*BEA/BEC,,,zeolite beta/PolC,,,success,,,,,
43,*BEA,,,zeolite beta,PolB,,mixed_phase,,,,,
44,*BEA/BEC,,,zeolite beta/PolC,,,success,,,,,
45,*BEA/BEC,,,zeolite beta/PolC,,,success,,,,,
46,,,,amorphous,,,failed_amorphous,,,,,
47,,,,amorphous,,,failed_amorphous,,,,,
48,,,,amorphous,,,failed_amorphous,,,,,
49,,,,amorphous,,,failed_amorphous,,,,,
50,,,,amorphous,,,failed_amorphous,,,,,
51,,,,amorphous,,,failed_amorphous,,,,,
52,,,,amorphous,,,failed_amorphous,,,,,
53,,,,amorphous,,,failed_amorphous,,,,,
54,,,,amorphous,,,failed_amorphous,,,,,
55,*BEA,,,zeolite beta,PolB,,mixed_phase,,,,,
56,*BEA,,,zeolite beta,PolB,,mixed_phase,,,,,
57,NON,,,Nonasil,,,success,17.6,1.56532,0.0,5.58485,"{""volume"": 4511.1925672044945, ""ring_size_0"": 6.0, ""ring_size_1"": 5.0, ""ring_size_2"": 4.0, ""framework_density"": 17.6, ""largest_free_sphere"": 1.56532, ""accessible_volume_izc"": 0.0, ""largest_free_sphere_a"": 1.24597, ""largest_free_sphere_b"": 1.56532, ""largest_free_sphere_c"": 1.43127, ""largest_free_sphere_izc"": 2.3, ""largest_included_sphere"": 5.58485, ""largest_free_sphere_a_izc"": 2.27, ""largest_free_sphere_b_izc"": 2.3, ""largest_free_sphere_c_izc"": 2.3, ""largest_included_sphere_a"": 5.57564, ""largest_included_sphere_b"": 5.57729, ""largest_included_sphere_c"": 5.5528, ""largest_included_sphere_fsp"": 5.57729, ""largest_included_sphere_izc"": 6.5, ""chan_num_channels"": 0.0, ""density"": 1.94625, ""sa_num_channels"": 0.0, ""avol_num_channels"": 0.0}"
58,*BEA,,,zeolite beta,PolB,,mixed_phase,,,,,
59,*BEA,,,zeolite beta,PolB,,mixed_phase,,,,,
60,,,,amorphous,,,failed_amorphous,,,,,
61,*BEA,,,zeolite beta,PolB,,mixed_phase,,,,,
